"04 Jun 2023, 20:17",Kira,If It Makes You Feel Better,If It Makes You Feel Better, Electronic, Synthwave
"04 Jun 2023, 20:14",John Mayer,The Search for Everything,Love on the Weekend, Pop, Blues
"04 Jun 2023, 20:10",John Mayer,Sob Rock,I Guess I Just Feel Like, Pop, Blues
"04 Jun 2023, 18:23",Foo Fighters,The Colour and the Shape,Monkey Wrench, Rock, Alternative
"04 Jun 2023, 16:22",Kira,If It Makes You Feel Better,If It Makes You Feel Better, Electronic, Synthwave
"04 Jun 2023, 16:19",John Mayer,The Search for Everything,Love on the Weekend, Pop, Blues
"04 Jun 2023, 16:13",John Mayer,Sob Rock,I Guess I Just Feel Like, Pop, Blues
"04 Jun 2023, 14:37",Foo Fighters,In Your Honor,Razor, Rock, Alternative
"04 Jun 2023, 14:34",Foo Fighters,In Your Honor,Cold Day in the Sun, Rock, Alternative
"04 Jun 2023, 14:30",Foo Fighters,In Your Honor,Virginia Moon, Rock, Alternative
"04 Jun 2023, 14:25",Foo Fighters,In Your Honor,On The Mend, Rock, Alternative
"04 Jun 2023, 14:19",Foo Fighters,In Your Honor,Over and Out, Rock, Alternative
"04 Jun 2023, 14:07",Foo Fighters,The Colour and the Shape,Walking After You, Rock, Alternative
"04 Jun 2023, 14:03",Foo Fighters,The Colour and the Shape,Everlong, Rock, Alternative
"04 Jun 2023, 13:58",Foo Fighters,The Colour and the Shape,February Stars, Rock, Alternative
"04 Jun 2023, 13:54",Foo Fighters,The Colour and the Shape,My Hero, Rock, Alternative
"04 Jun 2023, 13:50",Foo Fighters,The Colour and the Shape,Monkey Wrench, Rock, Alternative
"04 Jun 2023, 13:45",Elton John,Cold Heart (PNAU Remix),Cold Heart - PNAU Remix, Pop, Rock
"04 Jun 2023, 11:04",Phil Collins,Face Value (Deluxe Editon),In The Air Tonight - 2015 Remastered, Pop, Rock
"04 Jun 2023, 10:59",Ole Børud,Stepping Up,Driving, Pop, Funk
"04 Jun 2023, 10:54",Zero 7,Simple Things,Destiny, Electronic, Downtempo
"04 Jun 2023, 10:50",C418,Minecraft - Volume Beta,Mutation, Electronic, Ambient
"04 Jun 2023, 10:46",Air,The Virgin Suicides (Original Motion Picture Score),Playground Love, Electronic, Downtempo
"04 Jun 2023, 10:42",Air,Moon Safari,All I Need (feat. Beth Hirsch), Electronic, Downtempo
"04 Jun 2023, 10:38",Kira,If It Makes You Feel Better,If It Makes You Feel Better, Electronic, Synthwave
"04 Jun 2023, 10:34",John Mayer,The Search for Everything,Love on the Weekend, Pop, Blues
"03 Jun 2023, 20:47",John Mayer,Sob Rock,I Guess I Just Feel Like, Pop, Blues
"03 Jun 2023, 18:57",Michael Jackson,Thriller 40,Wanna Be Startin' Somethin', Pop, R&B
"03 Jun 2023, 18:51",Michael Jackson,Bad (Remastered),Man In The Mirror - 2012 Remaster, Pop, R&B
