1,Levitating,Dua Lipa,Pop
2,Blinding Lights,The Weeknd,Pop
3,Style,Taylor Swift,Pop
4,Greedy,Tate McRae,Pop
5,Espresso,Sabrina Carpenter,Pop
6,Don't Start Now,Dua Lipa,Pop
7,good 4 u,Olivia Rodrigo,Pop
8,Flowers,Miley Cyrus,Pop
9,Water,Tyla,Pop
10,Physical,Dua Lipa,Pop
2487,Roses And A Time Machine,Dierks Bentley,Country
2488,I'll Wait For You,Joe Nichols,Country
2489,Kaw-Liga,Charley Pride,Country
2490,Champagne For The Pain - Live From Spotify House SXSW 2016,Midland,Country
2491,Leaving & Lonely,Turnpike Troubadours,Country
2492,Break,Three Days Grace,Alternative
2493,Get Yourself Together,The Black Keys,Alternative
2494,I'm So Sick,Flyleaf,Alternative
2495,My Way,Limp Bizkit,Alternative
2496,Asking For It,Shinedown,Alternative
2497,Turtles All the Way Down,Sturgill Simpson,Alternative
2498,Look What You're Doing To Me,BANKS,Alternative
2499,Neither Do I,Stwo,Alternative
2500,Everything Zen,Bush,Alternative
2501,Alive,Big Daddy Weave,Alternative
2502,MICHUUL.,Duckwrth,Alternative
2503,Laid to Rest,Lamb of God,Alternative
2504,Kids with Guns,Gorillaz,Alternative
2505,Primadonna,MARINA,Alternative
2506,Charcoal Baby,Blood Orange,Alternative
2507,Confidence,Sanctus Real,Alternative
2508,How Did You Love,Shinedown,Alternative
2509,Till Now,BANKS,Alternative
38251,Set Theory,Carbon Based Lifeforms,Electronic
38252,Esa Cosa,ETC!ETC!,Electronic
38253,Get Lucky (feat. Pharrell Williams & Nile Rodgers),Daft Punk,Electronic
38254,Love's Almighty,Télépopmusik,Electronic
38255,Ready For Action,The Crystal Method,Electronic
38256,Lethal Skies,Hooverphonic,Electronic
38257,Jazz Potato,Mr. Scruff,Electronic
38258,AS Crust,Amnesia Scanner,Electronic
38259,Face to Face - Cosmo VItelli Remix,Daft Punk,Electronic
38260,Lovely Head,Goldfrapp,Electronic
38261,A Violent Sky,Apparat,Electronic
38262,Castor,Daft Punk,Electronic
38263,One More Time - 12 Mix,Daft Punk,Electronic
38264,Hit Stick,Lit Lords,Electronic
38265,Pieces,Chase & Status,Electronic
38266,Walk Away,Bedouin,Electronic
57386,Right Now,Trevor Jackson,R&B
57387,My World Needs You,Kirk Franklin,R&B
57388,Vibe,Mick Jenkins,R&B
57389,Sunshine,khai dreams,R&B
57390,Dance Again,Jennifer Lopez,R&B
57391,Babylon (feat. Kendrick Lamar),SZA,R&B
57392,Runnin' - Interlude,Kehlani,R&B
57393,Lonely Star,The Weeknd,R&B
57394,Get Mine,Bryson Tiller,R&B
